"","fecha","PP","PSOE","MM","Vox","UP","Cs","Derecha","Izquierda","PP.min","PSOE.min","MM.min","Vox.min","UP.min","Cs.min","Derecha.min","Izquierda.min","PP.max","PSOE.max","MM.max","Vox.max","UP.max","Cs.max","Derecha.max","Izquierda.max"
"30",2021-04-08,40.8,24.3,12.2,9,7.9,4.2,54,44.5,37.1,20.9,8.9,5.9,4.9,1.4,48.6,39.4,44.5,27.8,15.5,12.1,10.9,7.1,59.4,49.6
"31",2021-04-09,40.7,24.7,12.1,8.9,8.1,4.2,53.9,45,37,21.2,8.8,5.8,5.1,1.3,48.5,39.8,44.5,28.2,15.5,12,11.2,7.1,59.3,50.1
"32",2021-04-10,41.1,25.1,11.9,8.3,8.1,4.2,53.7,45.2,37.4,21.6,8.6,5.3,5.1,1.3,48.3,40,44.8,28.6,15.2,11.4,11.1,7.1,59,50.3
"33",2021-04-11,41,25.1,11.9,8.6,8,4.2,53.8,45,37.3,21.6,8.6,5.5,5,1.4,48.5,39.9,44.7,28.5,15.2,11.7,11,7.1,59.1,50.1
"34",2021-04-12,41.1,25,11.9,8.5,8.1,4.1,53.8,45,37.4,21.6,8.6,5.4,5.1,1.3,48.4,39.9,44.8,28.5,15.2,11.6,11.1,7,59.2,50.2
"35",2021-04-13,41,24.9,12.4,8.6,7.8,4,53.6,45.1,37.2,21.4,9.1,5.5,4.8,1.1,48.2,40,44.7,28.3,15.7,11.7,10.8,6.9,59,50.3
"36",2021-04-14,40.9,24.7,12.3,8.8,7.7,4.3,54,44.8,37.2,21.2,9,5.8,4.7,1.4,48.7,39.7,44.6,28.2,15.7,11.9,10.7,7.1,59.4,49.8
"37",2021-04-15,41.2,24,12.9,8.7,7.7,4.1,54,44.6,37.5,20.5,9.6,5.6,4.7,1.3,48.7,39.5,45,27.5,16.2,11.8,10.7,7,59.3,49.7
"38",2021-04-16,41.7,24.2,13,8.6,7.4,3.9,54.2,44.7,37.9,20.7,9.8,5.5,4.4,1.1,48.9,39.5,45.4,27.7,16.3,11.7,10.4,6.7,59.6,49.8
"39",2021-04-17,41.3,24.2,12.9,8.5,7.7,4.2,54,44.7,37.5,20.7,9.6,5.4,4.7,1.4,48.6,39.7,45.1,27.7,16.2,11.6,10.7,7,59.3,49.8
"40",2021-04-18,41.2,24.2,12.9,8.6,7.6,4,53.9,44.7,37.4,20.7,9.6,5.5,4.6,1.2,48.5,39.5,44.9,27.7,16.2,11.7,10.6,6.9,59.2,49.8
"41",2021-04-19,41.1,23.7,13.3,8.8,7.5,4.1,54.1,44.5,37.5,20.3,10,5.7,4.5,1.3,48.7,39.4,44.8,27.2,16.6,11.9,10.5,6.9,59.5,49.6
"42",2021-04-20,41,23.4,13.6,8.7,7.5,4.1,53.7,44.6,37.3,20,10.3,5.6,4.5,1.2,48.4,39.4,44.7,26.8,16.9,11.8,10.6,6.9,59.1,49.7
"43",2021-04-21,40.9,23.3,13.6,8.7,7.5,4.1,53.7,44.5,37.2,19.9,10.3,5.7,4.5,1.2,48.3,39.3,44.6,26.8,16.9,11.8,10.5,6.9,59,49.6
"44",2021-04-22,41.3,23.3,13.8,8.6,7.5,3.9,53.8,44.6,37.5,19.8,10.5,5.6,4.5,1.1,48.5,39.5,45,26.8,17.1,11.7,10.5,6.7,59.2,49.7
"45",2021-04-23,41,23.5,13.8,8.6,7.5,3.9,53.6,44.8,37.2,20.1,10.5,5.6,4.6,1.1,48.3,39.8,44.7,26.9,17.1,11.7,10.5,6.8,58.9,49.9
"46",2021-04-24,41.6,23.4,14,8.8,7.6,3.8,54.2,44.9,37.8,19.9,10.6,5.8,4.6,1,48.9,39.8,45.3,26.8,17.3,11.9,10.6,6.6,59.5,50
